gamertag,message,sent_time
NJS26104,this is a test,1588783589.3565722
Hardluck6664098,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588908033.9929054
eleven59pm,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588908033.9929054
iParadigm lll,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588908033.9929054
oddie2200,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588908033.9929054
ConcludedSolid6,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588908033.9929054
MAYHEEM RULES,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588908033.9929054
pdazzala,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588908033.9929054
FrostyThePlug,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588908033.9929054
lubyyy,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588908033.9929054
destroyerswave,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588908033.9929054
Zango1324,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
oSiIva,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
homelesnakedape,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
Fruit kill47,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
littlekeyz,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
immanuelabz,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
ZinD1,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
